,id,date,num_days_online,video_duration,music_name,author_num_likes,author_num_followers,num_likes,num_shares,num_plays,num_comments,trend_median_num_plays,trend_median_num_likes,trend
452,6679340511808998657,2019-04-14 06:07:26,1099.8458628241,13,Oh Nanana - Remix,16400,6628,4640,15,83200,37,239800.0,15600.0,334.01
471,6652649719715597573,2019-01-31 13:18:36,834.910891169,13,,162200000,9500000,130700,2404,1400000,757,112100.0,14300.0,229.0
509,6731279138319076610,2019-08-31 10:41:03,987.8245676042,10,,7567,829,50,0,897,2,23550.0,1623.0,152.0
544,6653089351628508421,2019-02-01 17:44:36,1168.9616138657,15,,38100000,1500000,1997,6,10100,13,30100.0,1997.0,352.0
559,6664132814608370945,2019-03-04 08:58:34,1200.0792268866,12,,27900,3241,12,0,154,1,3040.5,130.5,1248.0
580,6699014603264756998,2019-06-05 11:58:02,709.9496413657,13,,3800000,135400,3842,1337,53200,56,5107.0,522.0,103.0
617,6669306432115969286,2019-03-17 10:35:09,1154.8590921181,15,,31000000,2200000,12500,77,232500,128,21700.0,1135.0,265.0
659,6688899093445479686,2019-05-09 05:44:41,737.2393034491,15,,640700,43400,30500,449,341300,206,78600.0,5738.0,419.0
679,6702209499375078661,2019-06-14 02:35:52,772.3952705787,14,,39500,12200,355,0,2055,5,2557.0,476.0,1328.0
690,6678115604467027206,2019-04-10 04:19:15,720.1106105903,15,,856200,46300,3056,12,31200,38,91700.0,5696.5,1002.0
710,6688326133613595909,2019-05-07 16:41:19,1133.5958314468,15,,487000,20800,66,1,591,3,1496.0,164.5,124.0
719,6685932749729041670,2019-05-01 05:53:46,699.0462275231,14, 봉봉쇼콜라 (Bon Bon Chocolat),43000,2856,178,7,1181,1,17650.0,1145.0,207.0
725,6676028574509600001,2019-04-05 12:01:01,767.1553690278,21,Kill This Love,1800000,208800,66200,1369,813100,278,66600.0,5382.0,410.0
764,6701286242518043910,2019-06-11 14:53:09,1068.1015646296,15,,3800000,88800,833,5,11100,11,11800.0,1045.0,113.01
771,6679683284726713605,2019-04-14 09:42:39,1099.7218702894,15,,879900,28100,97,1,1367,9,1392.0,245.0,223.0
786,6702751932303281414,2019-06-15 13:40:47,774.7763571528,14,,1300000,111100,268500,12600,3400000,2553,23817.5,1664.5,45.01
