,date,num_days_online,video_duration,music_name,author_num_likes,author_num_followers,num_likes,num_shares,num_plays,num_comments,trend_median_num_plays,trend_median_num_likes,trend,id,novel,entertaining,learn,skill,recognise,repetition,comment,delete,not_sure,novel_1,entertaining_1,learn_1,skill_1,recognise_1,repetition_1,comment_1,creativity,complexity,memorability,creativity_1,complexity_1,memorability_1
7267,2020-02-28 10:49:18,5.270.456.698.495,10,,2200000,376300,4784,70,63700,20,66300.0,7177.0,146.0,6798447670894628102,1,1,1,1,1,1,,,,1,2,2,1,2,1,,2,2,2,4,3,3
7309,2020-03-18 17:57:03,7.608.528.197.338,15,,895700,9754,39300,3682,395700,55,561250.0,42650.0,840.0,6805608558588103941,2,2,3,3,2,1,,,,3,4,3,4,3,1,,4,6,3,7,7,4
7315,2020-02-26 22:23:01,3.973.579.948.495,14,,1300000,153100,3335,19,28400,17,4840.0,313.0,733.0,6797884285601762566,4,3,4,3,3,1,,,,2,2,3,3,2,1,,7,7,4,5,6,3
7330,2020-03-14 16:44:55,4.248.690.512.153,5,,6100000,786500,811400,41700,23200000,6649,2450000.0,380700.0,1098.0,6804105631771938053,2,2,1,1,2,0,,,,2,2,1,2,1,1,,4,2,2,3,3,2
7349,2020-03-16 03:30:48,7.618.157.298.264,14,,519,59,6,0,83,0,53.0,8.0,438.0,6804643156873710849,2,4,2,3,4,0,mixed song,,,3,4,1,1,2,1,,6,5,4,5,2,3
7371,2020-05-23 03:58:54,7.345.719.265.856,14,,4300000,281500,4292,91,59000,49,2975.5,439.0,1676.0,6829884181762297090,3,3,3,2,2,1,,,,1,1,3,3,2,1,,6,5,3,4,6,3
7385,2020-04-14 05:55:48,3.924.069.646.181,14,,75100000,6100000,2300000,3234,18300000,5120,4877.0,475.0,1112.0,6815441989257940225,4,4,4,5,5,1,,,,3,2,4,4,3,1,,8,9,6,6,8,4
7392,2020-02-29 17:25:01,812.196.589.456,14,Skechers,471400,25000,77,1,1561,3,3008.0,276.0,575.0,6798920758144814338,2,3,3,3,2,1,,,,2,2,4,3,2,1,,5,6,3,6,7,3
7432,2020-03-08 07:14:43,4.309.859.344.444,9,,404000000,14700000,137200,1757,1900000,638,3764.0,266.0,342.0,6801732174836993281,5,5,4,4,4,1,,,,3,4,4,3,3,1,,10,8,5,8,7,4
7496,2020-03-02 14:24:13,3.968.842.830.903,15,Seve,90100000,6600000,2327,39,33800,32,7719.0,813.0,1341.0,6799616338424892678,3,3,3,4,5,1,,,,3,3,3,2,2,1,,6,7,6,6,5,3
7556,2020-05-16 12:30:51,7.003.850.348.032,15,Supalonely (feat. Gus Dapperton),277800,7956,574,5,9882,4,2766.0,185.0,510.0,6827418515180408070,4,4,4,3,3,0,,,,2,3,3,3,2,1,,8,7,3,6,6,3
7580,2020-05-08 14:01:42,7.503.350.280.556,33,Boss Bitch,13700,320,102,1,657,3,1000000.0,157700.0,1855.0,6824473259807952134,5,5,5,5,3,0,,,,3,2,4,3,2,1,,10,10,3,6,7,3
7587,2020-03-19 20:50:53,2.042.802.143.287,5,,1100000000,40600000,1600000,4555,9500000,96300,574850.0,25725.0,1399.0,6806024442158779392,1,2,1,2,1,0,,,,2,2,2,1,1,0,,3,3,1,4,3,1
7591,2020-03-05 16:08:25,2.184.338.633.565,11,,115500000,5800000,618400,3453,5300000,1374,85500.0,8350.0,975.0,6800756453687725056,4,5,4,5,5,0,more than 1,,,4,4,5,4,3,1,,9,9,5,9,9,4
7646,2020-04-25 15:42:41,7.541.184.918.171,15,Coincidance,2600000,159300,71300,667,1300000,513,28400.0,2090.0,339.0,6819675172723903749,5,3,2,2,4,1,more than 1,,,3,4,3,4,3,1,2 people,8,4,5,7,7,4
7676,2020-03-20 17:40:26,7.826.076.079.398,15,Like That,24100,2421,43,1,1278,2,603.0,43.0,694.0,6806346448960015621,3,2,4,3,2,1,,,,2,3,3,4,2,1,,5,7,3,6,7,3
7692,2020-03-15 21:18:57,2.088.311.900.926,8,"Need A Freak (feat. Huncho Da Rockstar, Kblast, Number9ok)",99100000,6400000,876600,6259,5600000,4895,15200.0,923.0,318.0,6804547336589659136,3,2,1,1,2,1,more than 1,,,2,2,1,1,2,1,2 people,5,2,3,3,2,3
7698,2020-03-20 22:05:52,8.649.444.782.292,15,,102400000,5100000,42700,119,266400,298,519500.0,108700.0,1384.0,6806414849669664006,3,2,3,2,2,1,,,,4,3,2,2,3,1,,5,5,3,5,4,4
7742,2020-08-20 00:46:16,6.392.617.859.954,14,Toco Toco To,686800,47700,1073,14,32100,25,497950.0,44500.0,1499.0,6862861111033728261,4,4,2,2,4,1,,,,1,2,1,2,3,1,,8,4,5,3,3,4
7754,2020-04-21 16:53:37,442.827.937.963,14,Bad Boy,374900,36200,159,3,4512,4,15500.0,1280.0,711.0,6818209108991298821,5,5,5,5,4,1,,,,3,5,3,4,4,1,,10,10,5,8,7,5
7829,2020-03-21 22:04:50,8.639.287.531.829,15,,59000000,1600000,166500,339,750300,490,983500.0,159150.0,301.0,6806785664353389829,3,2,3,2,2,1,,,,4,3,3,4,3,1,,5,5,3,6,7,4
7862,2020-04-11 16:33:16,4.467.472.249.653,14,,999700,124700,111,0,3826,1,8463.0,286.0,1130.0,6814493011666324741,4,4,4,4,3,0,,,,3,2,4,5,4,1,,8,8,3,6,9,5
7884,2020-04-09 11:39:41,7.733.660.915.856,14,,454200,17900,27,0,378,2,2482.0,387.0,461.0,6813675181135957249,3,4,3,4,3,0,,,,3,4,3,3,2,1,,7,7,3,7,6,3
7897,2020-04-01 02:19:00,8.063.470.678.819,10,,501,94,4,0,22,1,5323.0,96.0,551.0,6810562013350219013,2,2,2,2,1,1,,,,3,4,4,3,3,1,,4,4,2,8,7,4
7903,2020-03-07 21:02:37,8.059.026.517.014,26,,13900000,1300000,67700,736,1000000,187,1268.0,123.5,870.0,6801574445262572806,5,5,5,5,3,1,more than 1,,,2,2,3,4,3,1,,10,10,4,5,7,4
7946,2020-05-07 20:06:13,3.264.555.647.685,59,WANNABE,124100,16700,4263,38,37200,79,39200.0,4744.5,1065.0,6824196110337264901,4,4,5,4,3,1,,,,3,2,4,3,2,1,,8,9,4,6,7,3
7962,2020-04-13 15:17:18,4.370.586.549.537,14,,1000000,147200,966,3,14500,13,10004.0,656.5,491.0,6815215589515087109,4,5,3,3,4,0,,,,2,2,3,2,2,1,,9,6,4,5,5,3
8009,2020-05-06 15:15:10,7.461.273.021.296,14,"Vaathi Coming (From ""Master"")",1200000,47000,1669,4,15400,49,4930.5,424.0,190.0,6823750009897471233,4,3,2,2,3,1,,,,2,2,4,3,2,1,,7,4,4,6,7,3
8022,2020-03-21 20:34:50,8.144.315.456.944,13,,2433,1256,59,1,422,3,525.0,172.0,608.0,6806762481344630021,2,2,2,2,1,1,,,,3,2,2,2,1,1,,4,4,2,4,4,2
8084,2020-03-28 15:05:14,8.051.096.143.056,14,Pew Pew Pew,21300,2482,21,0,571,4,5077.5,276.0,435.0,6809275132314537221,4,4,1,1,4,1,,,,2,2,2,1,3,1,,8,2,5,4,3,4
8139,2020-04-01 19:04:45,4.064.928.557.407,15,,404000000,14700000,153300,550,1200000,2125,1649.5,102.5,369.0,6810821177091673345,3,4,3,4,3,0,,,,2,4,4,3,3,1,,7,7,3,8,7,4
8346,2020-06-04 04:53:12,7.375.528.548.958,15,Savage,27300,9479,52,1,1196,2,8439.0,593.0,151.0,6834351203355282694,1,2,3,2,1,0,,,,2,1,2,1,1,1,,3,5,1,3,3,2
8376,2020-04-15 00:52:43,8.398.543.117.245,9,They Call Me Tiago (Her Name Is Margo),514900000,12600000,526700,1482,4000000,1601,352900.0,38300.0,1261.0,6815734971593018629,3,1,1,1,1,0,,,,3,2,1,1,3,0,,4,2,1,3,2,3
8394,2020-03-30 07:38:13,4.560.751.291.204,14,,5021,637,2,0,7,0,43.0,4.5,1229.0,6809902112072387841,2,2,2,1,1,0,,,,2,1,2,1,1,1,,4,3,1,3,3,2
8433,2020-04-13 23:23:37,7.889.213.513.079,20,Roses - Imanbek Remix,17100000,2300000,20700,235,383100,139,8259.0,857.0,428.0,6815340928723668229,3,2,1,1,2,1,,,,2,2,1,1,2,1,,5,2,3,3,2,3
8479,2020-04-02 23:33:51,7.765.250.522.222,11,,490700,63600,1852,29,30000,23,8393.5,398.5,1267.0,6811261631549410565,4,4,5,5,3,0,,,,3,3,4,3,3,1,,8,10,3,7,7,4
8510,2020-04-26 14:00:14,7.560.685.915.856,15,,940400,246300,21200,108,227300,134,13600.0,1157.0,69.0,6820019850002337030,5,5,4,5,5,0,,,,2,3,4,3,3,1,,10,9,5,7,7,4
8533,2020-04-25 11:24:02,4.560.043.159.838,14,,17100,477,216,0,654,9,4190.0,612.0,589.0,6819608512516181249,3,3,2,2,2,0,,,,2,2,2,3,1,1,,6,4,2,4,5,2
